Letter ID,Sentence
ASCC 1005,anbei brief münchener hofkapellmeisters röhr antwort.
ASCC 1005,empfehle anliegen gerne.
ASCC 1005,"gewiss, können für opportun halten."
ASCC 1005,bitte rücksendung briefe.
ASCC 1011,für durchfüh rung verkaufes völkerbundanleihe.
ASCC 1011,bitte sagen herrn direktor pra ger neuerlich dank.
ASCC 1011,betrag bitte freundlichst umgehend konto sparkasse stadt mödling konto-nr.
ASCC 1011,772 für rechnung zuzahlen.
ASCC 1011,ebendorthin bitte saldo diesmaligen abrechnung einzuzahlen.
ASCC 1011,"se diesmal erhalten, hoffe jedoch, sehen."
ASCC 1016,postsparkasse monat erlag 150 franken ge meldet.
ASCC 1016,"lege erlagscheine bitte, entsprechendes veranlassen."
ASCC 1016,"ferner: reklamierte herrn englisch et 4 wochen preises notensendung auch, we li il band liszt mitgeschickt war."
ASCC 1016,freundliche ledigung bitten?
ASCC 1018,reklamation liszt-partituren geschick ten rechnung nr.
ASCC 1018,"37.923 v. 19.12.23 ver stehen, wonach bloss bände (nr."
ASCC 1018,1 u.
ASCC 1018,2) ver rechnet gesendet .
ASCC 1018,während selb selbstverständlich brauche bestellt hatte.
ASCC 1018,"freundlichkeit bitten, nachsendung veranlassen."
ASCC 1040,anbei rufers antwort.
ASCC 1040,"schulz-dornburg verschoben hat, finde rufer gerechtfertigt ist."
ASCC 1040,jedenfalls gutem glauben gehandelt!
ASCC 1050,telegrafisch angemeldeten doktor bach erwarten moechte dafuer freitag drahtet moeglich gruesse
ASCC 1051,"anfrage teile mit, adresse märz 1918 unver ändert obenstehende ist."
ASCC 1051,geldsendung bitte goldmarknoten goldmarkschek ge langen lassen.
ASCC 1077,"verreist karte 21. beantworten stimmen bläserquintetts: klarinette horn transponiert geschrieben werden, stehen."
ASCC 1077,"folgenden gründen: 1. hoffe durchzusetzen, musiker c-stimmung blasen lernen."
ASCC 1077,"wäre notfall leichter verläss licher, transposition geschriebenen korrigierten stimme vornehmen lassen; 3. bläser, urauf führung bläst."
ASCC 1077,"hoffe aber, gesagt, kürzester durchsetzen wä re gewonnen."
ASCC 1099,anbei bestem abschrift briefes lipsky.
ASCC 1099,"vornherein überzeugt, art aufklären wird."
ASCC 1099,"ziemlich krass zeigt wieder, gerühmten deutschen solidität ist."
ASCC 1099,"für bemühung, adresse einsteins verschaffen."
ASCC 1099,"wäre möglich, verbindung e. herzustellen?"
ASCC 1099,möchte gerne über sprechen.
ASCC 1110,"begreifen, ursache herr wöss hat, provozieren, ausdrücklich angegebenen stichverbesserungen verhindert ( , vernünftige welt kopiert)."
ASCC 1110,herrn v. wöß stets freundlich zuvorkommend gezeigt persönlichen vorgehen grund gegeben.
ASCC 1110,"sachlich ist, tut, voll kommener unsinn bloße lächer liche, überlebte geschmackigkeit."
ASCC 1110,darüber diskutiere nicht.
ASCC 1110,"bereit, erklären!"
ASCC 1110,"vorgehen protestieren dringend ersuchen muss, herrn v. wöß arbeiten anzuvertrauen, handelt prestige (was unwesentlich ist,) ruhe zeit: 1.)"
ASCC 1110,"unnütz ärgern 2) verlassen können, dinge automatisch befolgt werden.in fall erschwerend, stichanweisungen anmerkungen beigefügt habe, berücksichtigt müssten."
ASCC 1110,"außerdem lag manuskript vor, herr v. wöß erlaubt hat, än derungen einzutragen!"
ASCC 1110,"lehne ab, korrektur lesen, ehe genauest manuskripttreu anweisungen entsprechend gestochen ist."
ASCC 1110,"tut leid, gabe ersparen können."
ASCC 1110,"sicherheit kostbaren zeit, nötig, launen herrn wöß abwehre."
ASCC 1112,"bitten, monatsgeld (500 goldmark) sohn georg schönberg (wenn möglich) schicken."
ASCC 1112,"zufällig können, geb ihm, bitte, mit; rest vormittag holen."
ASCC 1126,"glaube besten, anliegen schriftlich mitteile."
